Player: Shot at (0, 0), Result: Miss
Enemy: Shot at (6, 7), Result: Miss
Player: Shot at (2, 2), Result: Miss
Enemy: Shot at (9, 2), Result: Miss
Player: Shot at (3, 3), Result: Miss
Enemy: Shot at (7, 7), Result: Miss
Player: Shot at (4, 4), Result: Miss
Enemy: Shot at (8, 10), Result: Miss
Player: Shot at (5, 5), Result: Miss
Enemy: Shot at (2, 1), Result: Miss
Player: Shot at (6, 6), Result: Miss
Enemy: Shot at (9, 10), Result: Miss
Player: Shot at (7, 7), Result: Miss
Enemy: Shot at (10, 2), Result: Miss
Player: Shot at (8, 8), Result: Miss
Enemy: Shot at (4, 9), Result: Miss
Player: Shot at (9, 9), Result: Miss
Enemy: Shot at (5, 6), Result: Miss
Player: Shot at (10, 10), Result: Miss
Enemy: Shot at (5, 4), Result: Miss
Player: Shot at (4, 0), Result: Miss
Enemy: Shot at (5, 1), Result: Miss
Player: Shot at (4, 2), Result: Miss
Enemy: Shot at (3, 10), Result: Miss
Player: Shot at (2, 3), Result: Miss
Enemy: Shot at (0, 6), Result: Miss
Player: Shot at (4, 5), Result: Miss
Enemy: Shot at (7, 8), Result: Miss
Player: Shot at (4, 6), Result: Miss
Enemy: Shot at (7, 10), Result: Miss
Player: Shot at (4, 7), Result: Miss
Enemy: Shot at (3, 5), Result: Miss
Player: Shot at (4, 8), Result: Miss
Enemy: Shot at (2, 10), Result: Miss
Player: Shot at (4, 9), Result: Miss
Enemy: Shot at (1, 1), Result: Miss
Player: Shot at (4, 10), Result: Miss
Enemy: Shot at (2, 4), Result: Miss
Player: Shot at (5, 0), Result: Miss
Enemy: Shot at (6, 6), Result: Miss
Player: Shot at (5, 1), Result: Miss
Enemy: Shot at (1, 4), Result: Miss
Player: Shot at (5, 2), Result: Miss
Enemy: Shot at (5, 7), Result: Miss
Player: Shot at (5, 3), Result: Miss
Enemy: Shot at (4, 0), Result: Miss
Player: Shot at (5, 4), Result: Miss
Enemy: Shot at (3, 3), Result: Miss
Player: Shot at (5, 6), Result: Miss
Enemy: Shot at (5, 8), Result: Miss
Player: Shot at (5, 7), Result: Miss
Enemy: Shot at (8, 2), Result: Miss
Player: Shot at (5, 8), Result: Miss
Enemy: Shot at (0, 8), Result: Miss
Player: Shot at (5, 10), Result: Miss
Enemy: Shot at (4, 1), Result: Miss
Player: Shot at (10, 0), Result: Miss
Enemy: Shot at (5, 2), Result: Miss
Player: Shot at (10, 2), Result: Miss
Enemy: Shot at (7, 9), Result: Miss
Player: Shot at (10, 4), Result: Miss
Enemy: Shot at (0, 10), Result: Miss
Player: Shot at (8, 4), Result: Miss
Enemy: Shot at (3, 8), Result: Miss
